Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
MADHUSUDHAN REDDY THAKKALA,Adilabad,TRS,0,Graduate Professional,Rs 7550000 ,Rs 120000 
CHENGARA SURENDRAN,Adoor,CPI,0,Graduate,Rs 6274 ,Rs 41438 
RAJ BABBAR,Agra,SP, 2 ,Graduate,Rs 22326400 ,Rs 1000000 
HARIN PATHAK,Ahmedabad,BJP, 1 ,Graduate Professional,Rs 10287931 ,Rs 0 
GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP, 2 ,Graduate,Rs 23446680 ,Rs 4680000 
RASA SINGH RAWAT,Ajmer,BJP,0,Post Graduate,Rs 1471446 ,Rs 0 
MAYAWATI,Akbarpur,BSP, 1 ,Graduate Professional,Rs 113544000 ,Rs 0 
DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,Rs 12289645 ,Rs 2408285 
BIJENDRA SINGH,Aligarh,INC,0,Graduate,Rs 2892600 ,Rs 0 
Joachim Baxla,Alipurduars,RSP,0,Graduate,Rs 485800 ,Rs 0 
KUNWAR REWATI RAMAN SINGH URF MANI JI,Allahabad,SP, 1 ,Graduate Professional,Rs 22837000 ,Rs 1050000 
DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,Rs 800231 ,Rs 54317 
DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,Rs 4023529 ,Rs 1022864 
SELJA,Ambala,INC,0,Post Graduate,Rs 7176087 ,Rs 0 
RAHUL GANDHI,Amethi,INC,0,Post Graduate,Rs 5538123 ,Rs 0 
ANANT GUDHE,Amravati,SHS,0,Graduate,Rs 3532477 ,Rs 217263 
VIRJIBHAI THUMMAR,Amreli,INC, 1 ,Graduate,Rs 15227334 ,Rs 87000 
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,Rs 64211374 ,Rs 398529 
HARISH NAGPAL,Amroha,IND,0,10th Pass,Rs 67234623 ,Rs 0 
CHALAPATHIRAO PAPPALA,Anakapalli,TDP,0,Graduate,Rs 5396505 ,Rs 246000 
SOLANKI BHARATSINH MADHAVSINH,Anand,INC,0,Graduate Professional,Rs 996308 ,Rs 0 
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,Rs 3890000 ,Rs 437636 
MEHBOOBA MUFTI,Anantnag,JKPDP,0,Graduate Professional,Rs 450000 ,Rs 0 
MANORANJAN BHAKTA,Andaman & Nicobar Islands,INC,0,Post Graduate,Rs 5926740 ,Rs 272061 
KUNWAR SARVRAJ SINGH,Aonla,JD(U), 1 ,Graduate Professional,Rs 14281673 ,Rs 0 
VELU R.,Arakkonam,PMK,0,Post Graduate,Rs 4610868 ,Rs 97947 
